Size,Location,Year of Construction,Number of Rooms,Garden Size,Urban,House Price
773.4411831607289,1,1997,4,312.33603600371566,0,727957.9740469715
262.18243658466105,0,1964,7,300.2214492095063,1,606970.5344794295
450.1208300792345,3,1991,9,883.1166395650347,1,1154609.4312420746
133.84016340833134,0,1983,3,187.9557966296585,0,310268.4134242867
110.60896526265186,0,2004,8,668.649531573549,0,651282.9945875441
996.6410844713599,1,2010,10,205.68597889701107,0,1030655.8554827968
539.3769922498932,0,1983,8,864.5787381969119,0,1154129.4136345002
434.82228757472797,3,1954,3,442.83557745196185,0,592633.744258831
276.5548851075805,0,1968,4,929.6827596043374,1,700806.8828331954
826.4730205796916,2,1991,6,314.8691275642717,0,869937.8284271983
735.1774475771332,1,1982,6,199.95099040961173,0,716721.7606075304
101.40057813666891,0,1953,8,505.85785206724665,1,615655.1218341464
794.1040057362127,1,2001,10,494.7701750874695,1,1211680.8509303704
200.3344706356389,3,2002,4,463.32496202441723,0,498043.5973900575
953.7694121656298,2,1951,3,104.31217575306097,0,559539.490128422
399.4624755599551,1,1994,7,565.2735390345149,0,812674.6655757235
505.99249779386,1,1995,10,918.502358913633,0,1260426.995649469
104.48281510637808,0,1976,5,853.7075681021821,0,535110.9286976041
841.9534196000246,3,2006,8,397.60209767032364,1,1072787.411090299
377.3514288072135,0,1971,6,124.97975211840352,1,531911.4700475355
600.8021885525022,3,2009,10,787.8516872750403,0,1295434.6891381657
933.9407173537069,2,1969,8,997.9276142918936,0,1734024.297083624
240.60014489400723,2,1976,6,671.3607546041923,1,692156.0409222221
880.5966516378294,3,1957,5,576.0335232244036,0,1113280.9992293403
550.2150377582993,1,1967,5,232.10978024880882,1,617065.2189885796
932.0105566509585,2,1961,4,606.6634297712899,0,1123445.7158788086
840.1195451677833,3,1992,9,418.26218509356653,0,1137828.7592984368
498.68202759317995,1,1996,5,419.7372002520581,0,700987.1474982202
179.8405936432696,3,1951,6,472.83222474274794,0,586502.8556012025
127.17770939382306,3,1997,6,363.49115660459773,1,532966.3112564791
886.8077288506681,1,1997,5,736.2398578113729,1,1261303.5431858944
526.8564257125319,2,1961,4,114.68557619079895,1,492214.56062502996
697.3254171349764,3,2007,7,363.83718564576077,1,907452.9134309108
893.4835727879672,1,2008,7,652.166608645449,1,1284538.391695109
374.1930923362274,0,1965,6,794.4452118884926,1,847862.8615218061
906.1867165522128,2,1985,6,603.5789738450367,0,1202271.9740715348
124.77919548491951,2,1976,6,282.2045335213479,1,503065.0630567377
351.9331108607193,3,1971,9,324.5164546312297,0,789445.7811098155
830.5897555896614,2,1985,8,980.735905240813,0,1593709.820107391
867.898286491282,1,1980,6,928.1927204315405,1,1481089.4778924284
950.3518558218277,1,1959,6,795.5729011396052,1,1433946.9697140884
372.7101452175131,3,1997,3,163.21434954520186,1,427003.85313325713
802.2120270545229,3,2002,7,716.5164845782087,0,1280530.587748079
986.6172723839516,0,1952,3,744.1943980524858,1,1251491.9323813918
574.3054136005794,3,2006,5,302.04173316333413,1,694539.4298662463
327.3366606742194,3,1992,6,221.38595803354946,1,586676.9682163945
135.06608385746347,3,1950,3,152.78877370579454,0,330341.2444847899
783.6877565054282,2,2005,7,208.44483483621397,0,802942.379017376
224.96084599462026,2,1960,6,960.5120614482123,0,765591.7903623533
448.2483457878665,1,1963,5,554.3456191994261,1,748790.7564026763
378.35009348792846,1,1963,6,833.0753859563664,1,879422.5848085609
475.16560565828667,3,1970,3,639.713845837163,1,739181.6378552568
915.3990954393066,1,1990,7,971.2694812272982,0,1623673.5848119985
483.3529850996758,3,1982,8,508.5047163397406,1,922277.6126382479
921.4698813612606,0,1965,8,412.6779804546395,0,1101650.5548980148
824.8607737306421,0,1996,4,259.4909257966565,1,702228.4103661549
359.5404988616539,2,1983,3,713.1835694652607,0,659062.1556540036
386.280117146199,1,1975,6,396.9834400273206,0,670828.1079699438
432.85980214128296,2,2003,6,586.8192540244845,0,808628.9288606475
645.0824724580918,1,1995,6,551.6858343654532,0,941501.4672206177
706.6562654271796,3,2007,3,854.9633439862768,0,1100510.715344607
975.0068521355832,1,1956,9,824.1519304120529,0,1636314.488900579
933.8644571473553,1,1983,10,177.10281841426857,1,983087.3927846807
650.6845492831295,3,1988,10,651.8988878186154,1,1250914.4442093384
141.61490154919983,0,2006,6,696.5334729649232,0,584665.8409947585
590.776858353431,3,1977,3,140.34563279193068,1,491960.60309766216
463.27619914549837,3,1999,3,505.73469848436014,1,652892.5700839605
590.300852888724,0,1965,9,705.1635217003942,1,1154206.5114929713
136.15873593392527,2,1998,4,549.5395230440553,1,470507.12784138176
996.1859866844595,3,1993,3,255.1857420905117,0,750904.5335375348
151.26253337764075,0,1995,5,360.4700292468211,0,460028.12393715227
345.4119408999637,0,1952,6,237.5219657196509,1,569504.1187351978
164.91162604419776,0,1977,10,260.54085043245027,1,698410.9488072153
592.8499954038436,2,2006,7,562.5121477757543,0,968848.2478672285
416.63646689874065,3,1989,7,390.0909751477204,0,757011.0018903841
437.7698585674446,0,1983,5,841.1395989195631,0,881229.5902077496
810.250768772145,0,1958,3,273.6361477608508,1,656867.1104970305
913.6181040123869,1,1959,5,162.81908799961226,0,699259.1399150221
249.1272848042778,3,1985,4,861.6131992038929,0,671053.7309895752
351.0792460539613,1,1977,10,409.83948382722593,1,862472.2746038632
525.4557581769263,1,2000,10,804.5258319272768,0,1210586.952936918
201.5935031277894,3,1968,5,746.6358251591527,0,635534.5013589765
447.8842738464424,3,1952,7,162.99433612146157,1,654894.3958747905
371.879241053396,1,1959,3,491.6260538864173,0,554410.6684411278
929.7787033300893,0,1961,10,721.7631538635409,0,1526550.8958222023
278.680708391948,2,1983,4,441.92522723187454,1,538150.0846534455
749.0902582660426,0,1991,7,831.165793894986,1,1305183.6024531322
294.3038878781099,0,1984,5,272.6927770365028,1,512591.5049383889
663.0925408858529,0,1963,7,692.9645098951346,1,1109920.640792631
623.7916553264326,1,1987,10,325.80626743694233,0,964940.5955745445
512.8518634385573,0,1964,7,595.3564233426041,1,914989.4633041385
835.2165719637351,1,1953,9,135.08536535858212,1,852694.4141396112
300.445474940371,2,1958,10,249.98834581431987,1,775700.3972178875
529.5522016224159,2,1954,9,716.8646800413983,0,1118371.907542091
984.1758412808723,3,1982,5,741.0241325034561,0,1374646.9963084434
264.9356103594106,0,2009,6,782.3652156968031,0,726901.5275439876
590.8892093563343,0,1988,6,192.71956420446216,0,643833.1710544053
363.79520497762434,0,1985,7,870.5939978046,1,923787.7995889783
211.42545355097593,3,1960,7,213.61112478935354,0,578544.7778285566
866.4336828032879,3,1969,4,847.5466572145548,0,1314951.4665686
619.9109574144685,2,1980,7,357.8584892027218,1,849929.2174739243
620.9463371592665,1,1981,9,280.3757930366283,1,885816.5509512981
590.8012635382088,3,1955,8,164.80460790092388,0,754387.4826712508
266.0212961381576,3,1966,10,871.0454107026047,1,999160.4532973135
611.7698490275575,2,1962,8,970.5535405108292,1,1331011.062203331
182.2501129918736,3,1987,9,649.1791982512196,0,790659.5039894448
714.3776833778173,2,1973,10,759.2869692494043,1,1382181.242294128
146.31145125357295,2,2004,6,959.3066692838049,0,673072.5757497259
270.2360052745205,2,1986,10,797.7171215651102,0,960340.4005270574
364.7960173847484,3,1994,4,612.352123382764,1,683512.0266196307
351.0380958938912,1,1970,6,644.9787737372192,0,761183.6651426124
830.8920600642901,2,1997,10,692.3258840550159,1,1432023.892325081
358.97558014157414,2,1959,7,564.5870917971425,1,796057.7618210434
166.56211190969262,1,1980,3,379.38873762522996,1,388849.05908965605
161.18442422640396,2,1993,8,338.72080600719573,1,635419.9401216111
234.47216744644456,1,1996,8,463.24904828095003,1,706794.2987572862
454.7727104161812,1,1956,9,397.4628408408978,0,862118.1183905188
277.132810362432,2,2001,9,519.135825049879,1,816322.0387603289
311.52012353874795,0,1957,4,775.7776702597716,0,670374.1908950551
265.5780899457941,1,2009,3,188.77239374620467,0,368851.60826055956
368.86185749306844,0,1999,10,757.2699987546895,0,1020557.0517392923
554.3728557607935,3,1983,10,275.8476544820129,1,922010.9026763596
974.2123645158381,1,1997,9,775.3460937203637,1,1589477.5216326083
812.7913976886545,3,2010,5,499.92193291303386,1,995566.0081183579
255.2686331141389,3,2002,7,379.8725736948154,0,655820.3252472401
822.565621369749,2,1992,6,989.6477894116831,1,1495968.1023580097
739.0837269077376,2,2002,4,655.1199287852467,1,1012973.6973170713
915.2185689085703,2,1983,5,240.9194822349563,1,796156.4006400723
491.2360601719804,3,1954,4,239.05039224525893,1,564685.812641527
880.3888143075593,3,2008,8,192.43593849284608,0,889051.271702761
728.281227274962,2,1953,7,611.9961760810888,1,1119534.3506164614
345.7833185016489,3,1970,6,865.5978132551603,1,881882.0476096966
450.79853364080134,2,2010,7,408.4981735955625,1,779800.0996770768
854.6307306944216,1,1989,4,118.81509929356324,0,585791.4062070687
826.9410518277601,2,2008,10,935.1872382854485,0,1646654.6964424343
320.9553754465635,0,2010,9,540.6140203773837,1,836947.204551905
852.6465015545023,0,1963,5,922.7415781255778,0,1392091.5443445842
951.1813647582537,0,2007,5,165.9758799948918,1,712146.6695458269
889.9925127647346,3,1993,10,158.44100427696674,1,968313.5403329749
443.15922494169126,1,1987,4,924.9620726106168,0,890934.6546798307
587.0456160215859,3,2009,5,498.25066412593515,1,835415.2895409653
861.3645780713497,3,1964,9,492.0997836018153,1,1227402.5103143477
744.7603847901128,3,1985,7,224.5281089566125,0,813256.9394698577
738.1944461153424,0,2006,5,441.5687690370661,1,864262.6169619458
356.72631499382044,1,1973,3,912.0543405058203,0,737103.1502891707
649.7217009466079,1,2008,8,600.4303921930259,0,1081356.3275058335
149.01500417405225,3,1952,3,865.759690992667,1,518717.51661518484
367.4326596056286,3,1986,3,474.4902753482836,0,565763.0437662826
282.509979571583,0,1997,7,656.3978056937216,1,753422.7132477164
448.3131168671599,3,1987,4,914.6148793694903,1,917901.5003407922
764.4066276230894,3,1967,10,449.86081122557545,0,1168335.8022914317
334.4870149956852,1,1967,8,137.43630299324514,0,627025.4939342962
261.02358217987774,2,1975,9,474.34964553275717,0,784089.7015002735
857.8321077901672,1,1968,3,453.9290608399492,1,862357.1891205491
923.5881675517626,1,1972,7,989.4447561464722,0,1652045.1626728314
501.5949366965254,2,1959,6,335.5731392672029,1,717825.7871676913
320.0479946702585,2,2000,6,841.114397106196,1,831971.3076499904
327.12931162217876,3,1994,4,677.1339499766191,1,680432.948388184
474.5618989662834,1,2008,9,311.314622072321,0,824111.4760917417
822.1986438124993,1,1990,5,782.371014154116,1,1243623.9905267188
605.3335127533012,1,1966,5,883.6426770240857,0,1095009.1754786528
619.6023521735111,0,1975,4,318.05312227447496,1,649975.5252427739
980.3415840740081,0,1955,10,196.66101767626452,0,1005660.2179486037
169.9076771757605,1,1985,9,432.850453765383,1,706161.5761302249
527.5120539797995,0,2010,9,328.7567049915576,0,853230.0067106347
531.4620656040229,3,1998,8,236.724990904464,0,778501.9105525777
598.5765781918967,2,1957,10,342.1116193609877,1,977071.6248045093
251.14621362657522,0,1987,9,958.2790028460191,0,927997.7518616004
252.02993355911647,3,1978,8,659.9289437666831,0,804227.4549877209
473.90370485573214,3,1952,8,868.0242576069295,0,1114002.6647128805
645.595530662329,0,1956,7,962.491788660936,1,1294332.5555606994
372.52227253068537,0,1972,9,980.1700674374275,0,1079971.4692772839
547.7672837047888,3,1990,9,174.2916642327607,0,796553.457580482
988.0815468987101,2,1998,9,540.7453308830109,0,1352224.2850663539
127.3879156508443,0,1950,5,782.52908231031,0,540733.3718911058
519.2805572429513,1,1983,4,113.96478105317509,0,474772.99341488257
526.5142276083269,3,1958,8,885.1912706759224,1,1187734.7536981597
722.6257498484911,3,1998,9,712.716640261088,0,1305802.791512924
339.76010375867475,0,1999,6,683.5649580361194,0,758636.2216718957
819.9406607223785,2,1959,4,994.5496980626061,1,1394812.7298780212
460.89407802383715,3,1988,10,506.66201523597755,1,1005871.7463700796
185.64615335694347,3,1983,10,636.4189489805037,1,845861.7024529894
667.0544491557627,0,1999,5,101.04736421234095,1,557907.9967412833
123.75382995955871,2,1981,10,359.06952162152675,0,714697.5039716854
745.1219742655743,0,1998,6,464.6787758453991,0,934354.1417614507
110.92626798450212,2,1963,6,759.8866277695512,0,590574.7920153805
637.0031821238124,2,1988,8,107.15267434796796,0,719622.1054736781
883.8027815381743,2,1966,10,143.22907076202915,1,939847.829712336
728.5675845357491,0,2004,7,308.5996402897738,0,843961.8923872495
661.9093792651171,1,2002,6,640.3225268730035,1,1026646.1022466843
488.6120127586089,1,1967,7,299.60674795938263,0,725232.7233690815
402.5759652160818,3,1951,9,918.519275948568,1,1118514.0921985619
433.26596884976135,1,1958,6,646.2898888904895,1,836322.224478831
437.5237779835704,0,1969,10,776.6611914938212,1,1103740.991633397
576.8952664866423,2,2005,4,786.3630919930367,1,962102.9149863179
228.99707296031846,3,2001,9,265.4266431581269,0,703325.868234383
893.6937416205212,0,1965,8,164.70008336030466,1,843608.393120011
663.2879898750532,0,1982,6,697.4591388696336,1,1063775.779016167
436.99260504618775,2,1993,5,320.7140582534845,0,619617.5818990057
983.990947703073,0,1962,6,196.275152309568,1,809223.3551543774
885.2747829627524,2,1963,10,773.6764749843393,0,1555635.5557195733
646.1345705817893,1,1995,5,991.2757578817349,1,1225257.6922535887
434.5739366081849,0,1975,9,517.0926532656499,0,906343.1175490741
432.184470398958,0,1992,3,956.1598289641471,0,835288.0002830083
160.0360537159645,3,2010,6,427.84109530092263,0,561228.907874376
408.2688737083761,3,2001,5,222.85693074856871,0,565107.2516008674
321.1158055898918,1,1954,8,473.6562215596285,1,768184.8151665545
647.696010038874,2,1955,7,760.6053212169161,1,1164905.4638794274
748.1471370053531,0,1982,7,959.7852604599536,0,1408069.88618931
363.1823295145389,3,1963,9,296.0153694408295,0,781592.8490932941
591.5327494769398,1,1950,7,523.9764576880177,0,930591.6923735485
808.3716788473376,3,2007,10,154.5568128422277,0,927551.0394425153
677.713429244021,0,1982,6,216.89164598285288,0,697452.8202261282
769.2951812564685,1,1982,3,672.7546817497195,1,994881.9343476072
296.271718950386,1,1973,6,951.4181928145802,1,841792.548087128
671.5449037180649,1,1953,3,328.7509499665809,0,636157.8528360614
346.40588178212533,1,1962,8,208.75341559265343,1,668118.2481039481
307.67552945418606,2,1960,3,931.5129373168269,0,699334.2064044749
343.84355123831443,3,1980,10,626.0019334655971,0,969558.23126704
429.8729603721998,1,2006,10,127.29719909123116,1,759653.2716968318
523.8463748841593,3,1971,4,430.48318876960616,0,694652.0673118025
306.3352983123037,1,1992,8,512.8580074873217,1,775539.4956207793
414.96714576259774,0,2003,7,300.4943696037104,1,683830.8509386212
906.8470436022656,3,1953,10,957.1898498356335,0,1771579.6049553659
221.16421676913916,2,1977,6,702.3956073785016,1,685094.8257972923
294.1516539922381,0,1983,3,982.9341686983933,1,691897.121117317
154.62342364843985,3,1977,3,970.3876912328159,0,547945.4158129573
737.9930167761327,3,1987,5,195.9739446572296,0,684851.6938477004
576.4696423940397,2,1993,3,952.5149672018437,1,1024795.7778360177
526.8883066268545,3,1953,4,984.8270342953367,1,1047871.6826713776
130.9736581704741,0,1986,8,889.9167650007937,0,721845.6355328647
965.2083989625435,0,1975,4,942.7583133407197,0,1490229.4965012288
859.6696282029071,3,1984,3,458.69332899334233,1,889768.5553103357
838.3366973058958,1,2006,3,119.55699684962207,1,534295.6734058924
887.6957279837288,0,1950,5,733.8748421095623,1,1249115.8238269484
799.3226448355897,1,1962,5,955.3524405162397,0,1370296.3369331306
225.493810634628,0,1962,8,577.8939754992798,1,728764.3564049883
974.3431878808179,2,1993,7,126.39684430521461,1,800907.609732295
940.3466256461435,3,1963,6,389.59948771122043,1,1023220.5320559476
726.4694002410757,3,1953,10,977.3542031084894,0,1577709.87144258
362.8096088752684,3,1963,9,932.9359679216464,0,1076177.5925094634
100.99999755155162,2,1958,9,835.3957693413497,1,751523.6926916987
537.2755924723642,1,1967,10,316.2335270138636,0,912093.6884821979
635.3231252835125,1,1981,9,492.9374958214145,0,1043541.7777042522
994.5831908462974,1,1982,7,655.1427907788345,0,1371267.6554916499
219.62353334474506,2,1990,9,877.7362262567228,0,884481.4063124144
179.93808774351317,3,1967,9,502.81684479709423,1,752924.351059378
483.6865942029158,0,2000,5,912.262476094219,1,975172.6794192133
775.8606000405358,0,1956,9,210.5035014920353,1,889591.2933247327
406.06329655751125,2,1999,5,746.1037904533594,0,818051.2180291362
696.1242274218764,3,1952,7,626.7333531087176,0,1110323.6783771531
900.4945479408079,0,1984,10,445.0235595114765,0,1223470.9248616558
813.8457919930153,3,1962,8,479.72948392751744,1,1131765.605030967
191.43627267162307,3,1967,5,283.026840776273,1,496288.42814280296
501.4677944287033,0,1973,8,591.5156707505379,1,954707.0378078902
134.1933889814874,3,1990,8,899.5124678991441,0,757741.7555702899
251.7744919927961,1,2000,8,336.54591427061644,0,667803.2918980649
793.639923866029,3,1965,9,438.98570040346857,0,1126938.7623636448
256.68381865328445,2,1984,3,366.85303905749606,1,446884.1988219256
